Year,Month,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons,vol_750ml_sale_dollars,vol_1000ml_sale_dollars,vol_1750ml_sale_dollars,other_vol_sale_dollars
2018,9,13626.299999999968,20441.34000000007,11934,178673.35999999987,12570.340000000006,3315.1899999999923,67493.7299999999,43714.39999999996,59395.20000000001,8070.03
2018,10,17119.21,25681.010000000115,17707,267941.7500000006,18668.149999999998,4924.470000000036,105921.8499999999,61478.19999999991,91194.3699999996,9347.329999999993
2018,11,16229.27999999996,24345.940000000126,14064,221761.79999999993,13977.890000000003,3685.5399999999922,111194.62999999968,51095.25999999996,50444.16999999993,9027.739999999993
2018,12,19719.529999999904,29581.54000000001,16198,268987.9600000002,15885.54,4188.709999999997,142946.89999999997,51895.87999999995,63128.73999999981,11016.439999999982
2019,1,15650.439999999979,23477.660000000113,10426,157184.23999999967,10414.419999999996,2744.639999999991,68628.53999999988,41193.989999999976,40247.80000000019,7113.9100000000035
2019,2,14241.759999999986,21364.289999999983,11099,181015.33999999985,12388.33,3266.7699999999923,63387.20999999996,39916.97999999999,72200.39999999966,5510.749999999993
2019,3,15430.229999999974,23147.25000000007,15497,254681.82999999996,17842.02,4707.360000000032,71850.38999999991,64141.86999999992,111557.03999999953,7132.530000000004
2019,4,15023.829999999978,22537.590000000066,18288,234103.2999999999,20795.840000000026,5487.480000000059,62441.35999999989,78716.38000000005,83897.65999999958,9047.900000000016
2019,5,17561.899999999947,26345.200000000095,18161,261278.9900000001,20100.50000000001,5302.260000000078,99921.07999999954,55736.81999999993,94000.8899999994,11620.199999999999
2019,6,14915.219999999974,22374.68000000006,14756,213891.3900000002,15469.949999999999,4080.4299999999907,81611.27999999968,64179.43999999997,60707.940000000046,7392.730000000003
2019,7,17891.309999999998,26839.110000000066,18484,248550.66999999966,18481.82,4874.990000000037,93007.69999999968,88492.01999999999,57819.409999999996,9231.540000000008
2019,8,17376.459999999995,26066.63000000007,15226,204965.89999999988,15474.910000000016,4080.4800000000064,77394.36999999969,60449.82999999999,58380.62000000002,8741.08
2019,9,14686.419999999966,22044.670000000006,12597,189829.18999999983,12373.520000000017,3262.170000000005,85864.28999999973,45579.42999999997,50250.79000000006,8134.679999999998
2019,10,17455.989999999943,26186.070000000054,21644,373092.1999999999,22017.579999999925,5808.97000000006,181645.91000000012,68049.68999999992,112488.06999999966,10908.530000000004
2019,11,18026.330000000005,27041.840000000062,17568,262981.89999999985,17879.519999999993,4715.5000000000355,109644.65999999973,64260.679999999986,78068.73999999966,11007.820000000003
2019,12,22565.659999999843,33851.19000000003,19712,309071.309999999,19989.980000000003,5271.4000000000715,134564.93999999965,81998.33999999988,81333.22999999946,11174.799999999996
2020,1,15742.360000000015,23615.190000000162,10798,155770.0899999999,10508.029999999992,2769.570000000003,88495.84999999983,34431.62000000001,27153.789999999983,5688.8300000000045
2020,2,11858.93000000002,17789.759999999915,9920,150522.03999999998,9925.320000000003,2616.879999999994,76211.03999999986,40526.469999999994,28323.16000000001,5461.37
2020,3,15569.590000000013,23355.93000000011,11071,157725.8200000001,11369.819999999987,2996.7399999999907,83054.05999999972,32371.209999999977,37693.66999999999,4606.879999999999
2020,4,17776.569999999927,26666.720000000132,12888,218111.60999999993,14119.779999999999,3722.8799999999765,93108.77999999972,23763.859999999993,92508.78999999994,8730.180000000004
2020,5,18702.469999999965,28055.550000000196,12182,186820.00000000003,12612.429999999988,3324.139999999983,103568.90999999981,25054.89,49382.73,8813.469999999994
2020,6,20458.139999999792,30689.380000000165,15229,246970.02999999965,14969.769999999982,3946.339999999977,153527.57999999967,41260.149999999994,45099.670000000006,7082.6300000000065
2020,7,17756.399999999998,26636.14000000013,16207,234444.28999999995,16985.81999999999,4479.9900000000025,100982.8199999997,52777.489999999976,69759.53999999994,10924.43999999999
2020,8,18446.50999999989,27671.560000000125,13070,209246.4899999997,13063.999999999993,3443.259999999973,129435.06999999961,28439.019999999997,44286.02,7086.380000000001
2020,9,20371.519999999942,30566.06000000009,14615,206062.57999999996,13355.569999999985,3520.249999999988,120590.5899999998,56432.59000000002,18883.740000000005,10155.659999999993
2020,10,20851.209999999875,31278.82000000012,15621,262166.3199999997,14009.199999999997,3692.159999999979,165598.49000000008,41130.329999999936,42078.41999999999,13359.079999999974
2020,11,26507.40999999988,39763.15999999963,15747,275275.8300000006,15398.699999999986,4058.9199999999814,140177.4899999998,40588.77999999997,72577.67999999992,21931.879999999997
2020,12,27632.939999999766,41451.729999999516,16081,285044.24000000145,15351.079999999985,4044.7399999999766,184916.78999999995,37679.73999999997,52625.339999999975,9822.369999999984
